app,module,entity,surface,title,route,field,binding,evidence
all-in-one,business,companies,form,Companies,/business/companies-form,description,payload genérico/não comprovado,apps/all-in-one/src/pages/business/CompaniesForm.tsx:6
all-in-one,business,companies,form,Companies,/business/companies-form,category,payload genérico/não comprovado,apps/all-in-one/src/pages/business/CompaniesForm.tsx:6
all-in-one,business,companies,list,Companies,/business/companies,name,payload genérico/não comprovado,apps/all-in-one/src/pages/business/CompaniesList.tsx:6
all-in-one,business,companies,list,Companies,/business/companies,title,payload genérico/não comprovado,apps/all-in-one/src/pages/business/CompaniesList.tsx:6
all-in-one,business,companies,list,Companies,/business/companies,status,campo físico provável,apps/all-in-one/src/pages/business/CompaniesList.tsx:6
all-in-one,business,companies,list,Companies,/business/companies,created_at,campo físico provável,apps/all-in-one/src/pages/business/CompaniesList.tsx:6
all-in-one,business,company_documents,form,Company Documents,/business/companydocuments-form,name,payload genérico/não comprovado,apps/all-in-one/src/pages/business/CompanyDocumentsForm.tsx:6
all-in-one,business,company_documents,form,Company Documents,/business/companydocuments-form,description,payload genérico/não comprovado,apps/all-in-one/src/pages/business/CompanyDocumentsForm.tsx:6
all-in-one,business,company_documents,form,Company Documents,/business/companydocuments-form,category,payload genérico/não comprovado,apps/all-in-one/src/pages/business/CompanyDocumentsForm.tsx:6
all-in-one,business,company_documents,list,Company Documents,/business/companydocuments,name,payload genérico/não comprovado,apps/all-in-one/src/pages/business/CompanyDocumentsList.tsx:6
all-in-one,business,company_documents,list,Company Documents,/business/companydocuments,title,payload genérico/não comprovado,apps/all-in-one/src/pages/business/CompanyDocumentsList.tsx:6
all-in-one,business,company_documents,list,Company Documents,/business/companydocuments,status,campo físico provável,apps/all-in-one/src/pages/business/CompanyDocumentsList.tsx:6
all-in-one,business,company_documents,list,Company Documents,/business/companydocuments,created_at,campo físico provável,apps/all-in-one/src/pages/business/CompanyDocumentsList.tsx:6
all-in-one,business,user_company_memberships,form,User Company Memberships,/business/usercompanymemberships-form,name,payload genérico/não comprovado,apps/all-in-one/src/pages/business/UserCompanyMembershipsForm.tsx:6
all-in-one,business,user_company_memberships,form,User Company Memberships,/business/usercompanymemberships-form,description,payload genérico/não comprovado,apps/all-in-one/src/pages/business/UserCompanyMembershipsForm.tsx:6
